scenario_id,split,class_name,send_v_rms_a_v,send_v_rms_b_v,send_v_rms_c_v,send_i_rms_a_a,send_i_rms_b_a,send_i_rms_c_a,send_v_rms_ratio_a,send_v_rms_ratio_b,send_v_rms_ratio_c,send_i_rms_ratio_a,send_i_rms_ratio_b,send_i_rms_ratio_c,send_v0_rms_v,send_v1_rms_v,send_v2_rms_v,send_i0_rms_a,send_i1_rms_a,send_i2_rms_a,send_v0_v1_ratio,send_v2_v1_ratio,send_i0_i1_ratio,send_i2_i1_ratio,send_active_power_w,send_reactive_power_var,send_power_factor,send_z_magnitude_a_ohm,send_z_magnitude_b_ohm,send_z_magnitude_c_ohm,send_v_rms_imbalance_pct,send_i_rms_imbalance_pct,receive_v_rms_a_v,receive_v_rms_b_v,receive_v_rms_c_v,receive_i_rms_a_a,receive_i_rms_b_a,receive_i_rms_c_a,receive_v_rms_ratio_a,receive_v_rms_ratio_b,receive_v_rms_ratio_c,receive_i_rms_ratio_a,receive_i_rms_ratio_b,receive_i_rms_ratio_c,receive_v0_rms_v,receive_v1_rms_v,receive_v2_rms_v,receive_i0_rms_a,receive_i1_rms_a,receive_i2_rms_a,receive_v0_v1_ratio,receive_v2_v1_ratio,receive_i0_i1_ratio,receive_i2_i1_ratio,receive_active_power_w,receive_reactive_power_var,receive_power_factor,receive_z_magnitude_a_ohm,receive_z_magnitude_b_ohm,receive_z_magnitude_c_ohm,receive_v_rms_imbalance_pct,receive_i_rms_imbalance_pct,send_v_spectral_entropy_mean,send_v_spectral_entropy_max,send_v_fundamental_residual_ratio_mean,send_v_crest_factor_mean,send_v_flatline_fraction_mean,send_i_spectral_entropy_mean,send_i_spectral_entropy_max,send_i_fundamental_residual_ratio_mean,send_i_crest_factor_mean,send_i_flatline_fraction_mean,receive_v_spectral_entropy_mean,receive_v_spectral_entropy_max,receive_v_fundamental_residual_ratio_mean,receive_v_crest_factor_mean,receive_v_flatline_fraction_mean,receive_i_spectral_entropy_mean,receive_i_spectral_entropy_max,receive_i_fundamental_residual_ratio_mean,receive_i_crest_factor_mean,receive_i_flatline_fraction_mean
stage4_006324,train,CA,116648.243327758,132606.498764048,117525.522754731,2036.11091471471,226.360256942998,2063.67965349394,0.882780161563344,1.00329195003912,0.889547790311715,8.89817333962957,1.00231227242516,8.92403843007129,386.524258819579,122053.909310366,10191.9273258685,55.5195103656823,1241.47812943613,1128.82080796586,0.00316683227111311,0.0835034894290182,0.0447204900749227,0.909255492465708,128866588.284309,400425270.514993,0.306350599956596,57.2897293977239,585.820587743197,56.9494991898346,13.0527105456185,127.410217822436,58010.9127965423,126471.287965432,68544.5250015629,109.64390651691,240.893348260652,130.362775870185,0.46115811298879,0.996662884749939,0.540182998274127,0.456008309581055,0.997586377244796,0.544298768333015,97.5433265327637,64170.4844840375,62463.3834337183,0.597543355077254,121.72022522714,119.16002397739,0.00152006529664004,0.973397410600136,0.00490915420146644,0.978966509099271,42280346.9348507,17508147.8923669,0.923917734318681,529.084694620906,525.009465303238,525.798292833373,81.1697360770518,81.87737578242,0.115708765193902,0.118850195061158,0.0429632970492468,1.48660617056783,0.00584795321637427,0.125636235570576,0.134230987948169,0.133836418480369,1.26590835570652,0.000835421888053467,0.115057911386614,0.118373232616242,0.0552080070256443,1.37841769198969,0.0108604845446951,0.114467968407198,0.116751571182613,0.0544563658040677,1.60825955968513,0.00334168755221387
stage4_000708,train,Healthy,132162.440206982,132008.443957205,131239.898341336,174.127951382988,173.27284154255,173.452631476271,1.0000690322816,0.999684046025406,0.999028105908995,0.999732911750206,1.0005844081341,0.998051646485028,241.320001210315,131803.531920436,347.854364962573,0.289491242592922,173.617740794301,0.27402190843194,0.00183090693924644,0.0026391884943763,0.00166740588414812,0.00157830592183891,67963430.3250111,9688202.06954003,0.989991987786177,758.996124156398,761.85305661296,756.632500898609,0.699936804808328,0.492524269041674,128182.012698856,126845.322217371,127261.091164466,184.197170251663,184.764447824212,186.024503158307,0.999907219499027,1.00139642329448,0.998028835465617,1.00075741161023,1.00044690838789,0.999059254328895,344.984719892464,127429.298124803,487.977874470187,0.461840596898907,184.995335755875,0.61963411339587,0.00270726375307026,0.00382940094351194,0.0024964986009613,0.00334945803289634,66959875.1225872,22755527.9759441,0.946819404457584,695.895667255501,686.524511133518,684.109292076252,1.04896490996766,0.987772218112448,0.113757900020052,0.11736974885873,0.0132131073912466,1.43614384773082,0.000835421888053467,0.113746071864969,0.117516235757581,0.013242348466023,1.42626985032618,0.000835421888053467,0.11374513927173,0.1173827033041,0.0135370676628417,1.42663312013593,0.00167084377610693,0.113762461879522,0.116330676658271,0.0131203445389037,1.42401041664523,0.000835421888053467
stage4_003544,train,CG,131777.450133491,132478.795790702,77860.3280310834,235.813976322046,263.024186012238,2145.01982849923,0.999049950288889,0.999887545079395,0.594339373557225,1.0358083547217,1.15033610008145,9.4457641513057,18243.8425031604,114014.750066379,18088.2587425337,653.850769394284,822.316716335502,686.71274603582,0.160013002638159,0.158648409368111,0.795132527900012,0.835095204066901,113886642.535703,181116083.698172,0.532313079658281,558.819507600031,503.675337995486,36.2981856841662,47.8946112971059,216.638623420384,131583.910681259,144978.446137427,6257.27967205661,250.406885788024,275.480214489829,10.7481845831567,1.03979721683769,1.1462601146827,0.0493580124702759,1.03997742765034,1.14737298488443,0.0448126534733693,54611.9159060631,93276.5465943866,33283.1410425431,104.045696259109,177.050147965899,63.7487126219933,0.585483896005962,0.356822183686484,0.587662294860937,0.360060205283035,67244345.9476678,28296535.6509871,0.921718070985308,525.480400697319,526.275349414537,582.170842307851,147.148021459865,147.995503114506,0.117357663362297,0.124030308351537,0.0534451506504836,1.47764238015442,0.0025062656641604,0.135404583260614,0.17548139747865,0.134829924989393,1.41583998567776,0.00167084377610693,0.185925115378823,0.33011281257729,0.209468394924317,1.61826026594824,0.0100250626566416,0.220438006887072,0.428926661842288,0.0573273650915425,1.50280789981916,0.00167084377610693
stage4_002495,validation,BG,131254.093121633,80240.9719157187,130988.264764302,327.626773653772,3477.0022056017,300.159244804295,0.998032925892532,0.614566754411536,1.00020844189183,1.10485262139862,11.8526405585364,1.01924739691404,16441.3622589422,114158.61269343,17480.0296154341,1072.31188399302,1312.65892774352,1105.77280689466,0.144022092341776,0.153120550460579,0.816900613959442,0.842391563812768,137184118.759319,312676435.359325,0.401772835701899,400.620778509206,23.0776304330336,436.395903280297,44.6852007968899,232.180769437265,132897.229979386,5231.19921295694,123115.791532506,344.33075628325,13.2090408720264,323.139159635801,1.09952852425849,0.0435025222955306,1.0266875689026,1.10108185072706,0.0420738946173929,1.02517603057238,48280.4818796056,86397.3440287253,33960.8566285773,125.389972195875,225.467846243558,88.4719927858751,0.558819051932353,0.393077553602643,0.556132389983556,0.392392947641432,74252137.2709751,42615821.295402,0.867305571833942,385.958057926325,396.031722790363,380.999293528106,146.605383742699,145.937396231064,0.123404401378196,0.129040328715772,0.0879145252938422,1.55874539369481,0.00167084377610693,0.12923822348732,0.154242298025063,0.102514298579505,1.42433515362565,0.00167084377610693,0.163333013222831,0.260361295497416,0.165769526201048,1.63774654702665,0.0133667502088555,0.164593179103555,0.263828293819682,0.0440942362039348,1.4491956575622,0.00668337510442774
stage4_004132,train,AB,131671.968270269,124426.084238802,132221.74975019,1327.31962995101,1300.7466135493,200.872834395511,0.990786942101396,0.945379829286466,0.999208634747094,6.59551227903641,6.485447603168,1.00103206212567,212.302492568451,129399.959643165,4787.65391976315,1.84292406010935,855.641741655662,657.695595498269,0.00164066892411635,0.0369988826346285,0.00215385011084581,0.768657679352613,290935332.270983,149603093.349948,0.889313649680015,99.201402058017,95.6574346938221,658.236093238223,6.02261239269681,119.456103281661,130991.702486698,84870.9909497363,128063.377801532,219.895426790145,141.836061361639,214.650693637917,1.02352702201613,0.659447245147444,1.00238118577431,1.02599491551189,0.661574012962477,1.00138071047924,105.811777310857,113086.232866821,28264.3366492626,0.204517311897633,189.451039655657,47.858028038569,0.000935673376223164,0.249936141055727,0.00107952594121078,0.252614227536333,59634989.9506016,33358219.1547554,0.87273909691258,595.699985210282,598.373855950079,596.612923215405,40.2301965980216,40.6289617694947,0.114430813487938,0.118886159423674,0.0258044804272545,1.41395708389048,0.00167084377610693,0.115113691784861,0.117027693054085,0.011201406030324,1.4616443422682,0.00167084377610693,0.115309352416428,0.117158916437516,0.0262486720145062,1.43815947442899,0.00417710944026733,0.114655152421061,0.119181935548437,0.0293465154234255,1.42480120003657,0.0025062656641604
stage4_006704,train,CA,79611.1778916594,131878.690807144,93078.6706660866,2286.37779485557,227.897325421824,2285.49149665162,0.602395204250449,1.00249715525258,0.704493737874086,10.0132813057822,0.998572706643817,10.0071028005259,626.564396159612,98109.3892105295,34234.6469951733,69.1636633962524,1370.76208920168,1271.69375774058,0.00638638565790161,0.348943635982795,0.0504563585038545,0.927727552256138,139773851.918042,244887142.361687,0.4957066828497,34.8197826583111,578.675903997753,40.7258879774666,51.4834982869308,128.661285040821,48909.4529954557,126925.319157367,78395.4207260297,93.1230383033037,239.891933549538,148.409642665095,0.388008913276139,1.00022001027653,0.616594386141055,0.389581045629209,1.00099655317213,0.616718398763751,335.32188637448,66712.617658396,61362.1920499283,0.471633116409965,125.617268409536,116.770002425775,0.00502636379959644,0.919798895677206,0.0037545245361677,0.92956966748459,43147109.7019438,17699341.2635305,0.925183956042646,525.213243538689,529.093735163699,528.236705636025,92.0612913184797,91.4591137346795,0.125495372067688,0.132475556520766,0.0984086643364459,1.62620473157328,0.00167084377610693,0.190196314178249,0.227707865703419,0.269013001108662,1.18665879850817,0.00334168755221387,0.120421564908427,0.125857201200994,0.0597162770072032,1.52062458706486,0.0150375939849624,0.119742896965551,0.126075049956358,0.0613309630142421,1.58997657121023,0.0150375939849624
stage4_010305,train,ABC,90061.2739791615,89673.3373294576,90068.6483688982,1404.65275820173,1436.73437470497,1485.15944958297,0.680334688086917,0.68455482189968,0.67895629232725,7.7200495037325,7.95987007712059,8.09488218573134,289.509328245723,89934.0450278261,133.048108996687,44.5918503140202,1441.59505205543,28.2809923965597,0.00321912939817337,0.00147939647277648,0.0309322997817181,0.0196178478527909,80454754.5749507,380564476.206289,0.206837350738246,64.1163970620469,62.4146946772062,60.6457767172333,0.439554777706965,5.58228299496895,263.261256478074,314.73587659567,192.83002250872,0.204076855444917,0.760237664639698,0.469679223073101,0.00205231162579188,0.00247035768265747,0.001503140584479,0.0010647839180809,0.00393819310099486,0.00244848683391427,197.055923983745,83.8666480095109,150.504289289107,0.145616170336208,0.407585901698429,0.304530366997855,2.34963395653297,1.79456664670846,0.357264983232783,0.747156282218946,224.346835041405,235.460140648732,0.689814909054843,1290.01035371761,413.996689765212,410.556850369147,47.4448207503146,116.352141391515,0.134217252415527,0.144313408903812,0.146601011365477,1.66338313418449,0.0050125313283208,0.177767516887337,0.199172597268913,0.317218343041255,1.10233751250717,0.0158730158730159,0.396239008281243,0.400574950490365,0.987763614391439,2.52741822471513,0.12781954887218,0.528470908594137,0.559695066743845,0.378326710823134,1.7033594504347,0.0576441102756892
stage4_005195,validation,BC,130985.809522145,100667.944516524,101855.273430029,297.056046498142,3365.63784796028,3318.53741798986,0.998738922978388,0.769881429058434,0.777426645405944,0.998079960124147,11.3627227110649,11.1949081862842,114.520008116184,110077.162052421,20935.0576292342,58.8947636958975,2026.03963203335,1835.16897148471,0.00104036119737214,0.190185295831524,0.0290689099880983,0.905791250313752,141088742.159134,535696103.780393,0.254689272278966,440.946451237996,29.9105100025936,30.6928205413232,27.27170406966,131.864208366389,120271.272731413,62039.3301266899,58883.6609878067,316.652708858473,158.913994851102,153.822334525202,0.998316551992501,0.511245674249963,0.488386731782667,1.00090681721339,0.508024236721933,0.488741299606509,227.147601939165,60480.2086825616,60021.1666646899,1.31363461810825,157.38353774318,157.97678692382,0.00375573442762706,0.992410045734448,0.00834670917267,1.0037694487565,49415206.0480933,28409846.9923545,0.866935841607706,379.820760621276,390.395636235934,382.803064129542,76.3545667688323,77.6135415973985,0.122433082933862,0.131511861515466,0.0804537979984398,1.55021989384037,0.000835421888053467,0.128622533397374,0.138864755274458,0.115267489704109,1.27945279060228,0.0050125313283208,0.115114296446927,0.116939871777143,0.0359239662943686,1.39558592242219,0.0116959064327485,0.112207339300528,0.112674352074605,0.0319068617350572,1.57419855725862,0.0150375939849624
stage4_001615,validation,AG,108334.849193731,130513.921452976,130937.119519244,2837.50694206094,318.460153249038,323.317270318528,0.827856612322188,0.994258416073512,1.00058847592237,9.64665567933953,1.07726789851609,1.09272605694856,7861.41933639049,123215.199622923,7820.7099967798,836.037903014536,1134.03374824597,876.055709877018,0.0638023503630144,0.0634719581732905,0.737224887978552,0.772512909101714,244265230.993457,295623850.252364,0.636965488539546,38.1795891272941,409.828106032825,404.980282650064,18.3367761669081,217.203872183945,36681.4902182069,130191.126257555,129732.681125073,96.005050066686,340.663156474349,340.737463603944,0.304996908129762,1.08095965411362,1.08055036910839,0.306401883309454,1.0787988679022,1.08128994929931,45124.9145269229,94187.639655828,28302.6589312982,118.799326365621,246.374199699135,75.1216707607923,0.479095926937062,0.300492283644852,0.482190612940378,0.304908837258644,79921059.4765686,45724963.45633,0.867982031813067,382.078757239621,382.16967048903,380.740878190804,94.5798710903587,94.441971393758,0.114614137879062,0.118157313731519,0.0262529110559397,1.44652223850543,0.0025062656641604,0.11298480042339,0.117487464834635,0.0184091860119864,1.43280659813233,0.000835421888053467,0.115028223491058,0.118787247070052,0.0373767809371322,1.42736119978449,0.00334168755221387,0.115970640963609,0.119007550518298,0.0323495375697941,1.51801058492778,0.00334168755221387
stage4_003546,train,CG,131268.122240779,129759.245229873,119889.154631503,315.410893688675,317.184180795318,1791.35085754061,1.00223564890223,0.997373360878787,0.91850994733963,1.02203415826517,1.0199631077435,5.77680892972517,10320.0441422819,126263.371566002,9922.43428741379,487.146434334875,807.351770094698,497.206242832589,0.0817342671456169,0.0785852156832912,0.603388079867262,0.615848334331725,289094845.010809,66596215.765528,0.974478255404193,416.181320516934,409.097467927028,66.9266738711931,8.96178056006575,182.669911612157,124652.657346052,125151.617692029,107274.486738418,329.111501831635,326.384614819326,281.289383162336,1.02246548227656,1.01544571242679,0.870303986876522,1.0202274255649,1.0084315682243,0.870190468335033,15344.6924285247,117585.202652583,13213.7490722129,40.217085245228,308.644725666126,33.3070194156308,0.130498498810791,0.11237595185556,0.130302195051058,0.107913781269861,105927776.130552,36520121.5706208,0.945391402310833,378.755092582032,383.448275468831,381.366994844978,15.0194855034262,15.3147498585844,0.114966997128225,0.118111024067526,0.0299760613981134,1.45810934584222,0,0.11448428778901,0.117981736598327,0.0219683145291404,1.4124864709074,0.000835421888053467,0.115313364155175,0.117341264740185,0.0306831830215214,1.42963903631043,0.000835421888053467,0.115224839166227,0.11798569029779,0.028712413439697,1.45437664865462,0
